link,title,location,codeBase,state,descriptionRequired
https://agency.governmentjobs.com/jobfeed.cfm?agency=alamancenc,"Alamance County",Alamance,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=ashevillenc,Asheville,Asheville,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=bladencounty,"Bladen County",Bladen,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=brunswicknc,"Brunswick County",Brunswick,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=burlingtonnc,Burlington,Burlington,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=Cabarruscounty,"Cabarrus County",Cabarrus,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=carolinabeach,"Carolina Beach","Carolina Beach",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=catawbacountync,"Catawba County",Catawba,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=chapelhill,"Chapel Hill","Chapel Hill",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=cityofec,"Elizabeth ","Elizabeth ",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=cravencountync,"Craven County",Craven,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=cumberlandcountync,"Cumberland County",Cumberland,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=darenc,"Dare County",Dare,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=durhamnc,Durham,Durham,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=fayetteville,Fayetteville,Fayetteville,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=forsythcountync,"Forsyth County",Forsyth,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=gastonianc,Gastonia,Gastonia,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=goldsboronc,Goldsboro,Goldsboro,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=graham,Graham,Graham,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=greensboronc,Greensboro,Greensboro,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=greenvillenc,Greenville,Greenville,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=guilfordnc,"Guilford County",Guilford,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=harnett,"Harnett County",Harnett,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=hickory,Hickory,Hickory,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=highpointnc,"High Point","High Point",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=hillsboroughnc,Hillsborough,Hillsborough,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=IredellCounty,"Iredell County",Iredell,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=jacksonvillenc,Jacksonville,Jacksonville,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=johnston,"Johnston County",Johnston,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=knightdalenc,Knightdale,Knightdale,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=monroenc,Monroe,Monroe,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=morrisvillenc,Morrisville,Morrisville,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=nashcounty,"Nash County","Nash ",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=nhc,"New Hanover County","New Hanover",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=northcarolina,"North Carolina State","North Carolina",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=onslowcountync,"Onslow County",Onslow,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=orangecountync,"Orange County",Orange,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=pendercountync,"Pender County",Pender,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=personcounty,"Person County",Person,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=raleighnc,Raleigh,Raleigh,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=rockymountnc,"Rocky Mount","Rocky Mount",neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=scotland,"Scotland County",Scotland,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=StanlyCounty,"Stanly County",Stanly,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=townofcary,Cary,Cary,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=townofelon,Elon,Elon,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=townofzebulon,Zebulon,Zebulon,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=unioncounty,"Union County",Union,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=washingtonnc,Washington,Washington,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=wilmingtonnc,Wilmington,Wilmington,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=wilsoncountync,"Wilson County",Wilson,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=wilsonnc,Wilson,Wilson,neogov,"North Carolina",0
https://agency.governmentjobs.com/jobfeed.cfm?agency=winstonsalemnc,"Winston Salem","Winston Salem",neogov,"North Carolina",0
https://appstate.peopleadmin.com/postings/all_jobs.atom,"Appalachian State University ",Boone,atom,"North Carolina",0
https://ecu.peopleadmin.com//postings/all_jobs.atom,"East Carolina University",Greenville,atom,"North Carolina",0
https://employment.uncsa.edu/postings/all_jobs.atom,"UNC School of the Arts",Winston-Salem,atom,"North Carolina",0
https://jobs.charlotte.edu/postings/all_jobs.atom,"UNC Charlotte",Charlotte,atom,"North Carolina",0
https://jobs.ecsu.edu/postings/all_jobs.atom,"Elizabeth City State University",Elizabeth,atom,"North Carolina",0
https://jobs.ncat.edu/postings/all_jobs.atom,"NC A&T",Greensboro,atom,"North Carolina",0
https://jobs.nccu.edu/postings/all_jobs.atom,"North Carolina Central University",Durham,atom,"North Carolina",0
https://jobs.ncsu.edu/postings/all_jobs.atom,NCSU,Raleigh,atom,"North Carolina",0
https://jobs.unca.edu/postings/all_jobs.atom,"UNC Asheville",Asheville,atom,"North Carolina",0
https://jobs.uncfsu.edu/postings/all_jobs.atom,"Fayetteville State University",Fayetteville,atom,"North Carolina",0
https://jobs.uncp.edu/postings/all_jobs.atom,"UNC Pembroke",Pembroke,atom,"North Carolina",0
https://jobs.uncw.edu/postings/all_jobs.atom,"UNC Wilmington",Wilmington,atom,"North Carolina",0
https://jobs.wcu.edu/postings/all_jobs.atom,"Western Carolina University",Cullowhee,atom,"North Carolina",0
https://jobs.wssu.edu/postings/all_jobs.atom,"Winston-Salem State University",Winston-Salem,atom,"North Carolina",0
https://robesoncountycareers.com/postings/all_jobs.atom,"Robeson County",Robeson,atom,"North Carolina",0
https://spartantalent.uncg.edu/postings/all_jobs.atom,"UNC Greensboro",Greensboro,atom,"North Carolina",0
https://unc.peopleadmin.com/postings/all_jobs.atom,"UNC Chapel Hill","Chapel Hill",atom,"North Carolina",0
https://www.jobapscloud.com/Charlotte//rss.asp,Charlotte,Charlotte,rss,"North Carolina",0
